title,content
"
GST Council meet: GST council approves transition plan for new tax rates for housing sector - Times of India

","
NEW DELHI: In a move to aid the real estate sector, the all-powerful GST council on Tuesday approved a transition plan for the implementation of new tax structure for housing projects.


As per the decision taken by the GST council, the developers of residential projects which are incomplete as on March 31, will have option either to choose the old structure with Input Tax Credit (ITC) or to shift to new 5 per cent and 1 per cent rates without ITC.

In the previous meeting on February 24, the council slashed tax rates for under-construction flats to 5 per cent from 12 per cent and affordable homes to 1 per cent from 8 per cent, effective April 1.

""GST council today has approved transition plan for the new rate structure for real estate residential projects...from April 1, builders have to choose either of the options for which they will get time,"" revenue secretary A B Pandey told reporters after the 34th meeting of the GST council here.

Finance minister Arun Jaitley chaired the meeting with state finance ministers via video conferencing.

On the time-frame for transition, Pandey pointed out that the council has agreed on providing a reasonable time to developers.

The matter would be decided in a next few days in consultation with the states, he said, adding that it could be 15 days or one month.

Pandey further said that the decision will help the builders in clearing inventories.

""This go-ahead by the GST council brings quite a relief for this sector in handling transition issues in specific,"" EY India partner Abhishek Jain said.

For upcoming projects, reduced rates of 5 per cent and 1 per cent will be applicable beginning April 1.

On the next GST council meeting, the revenue secretary said that is unlikely till the election process is over.

He, however, said that if any emergent situation arises then a meeting could be called with the permission of the Election Commission.

On apprehensions being raised on possible price rise due to new tax structure, the secretary said if prices escalate, the national anti-profiteering authority will look into it and take an appropriate action.

Deloitte India partner M S Mani said the pragmatic move to segregate under construction projects from new projects would provide relief to builders who were worried about the loss of Input Tax Credit.

""This would also enable them to price the loss of input tax credits in the new projects. Reversal of Input tax credit on a proportionate basis would entail significant computational issues for builders as each project would be in various stages of construction and have differing pre and post completion sale patterns,"" Mani said. 

"
"
ABN Amro: Infosys to buy 75% stake in ABN AMRO's mortgage services arm - Times of India

","
NEW DELHI: Infosys Ltd, India's second-biggest IT services company, said on Thursday it would buy a 75 per cent stake in ABN AMRO Group NV's mortgage administration services unit for 127.5 million euros ($143.53 million).


Infosys will acquire the stake in Stater NV through unit Infosys Consulting Pvt Ltd and the transaction is expected to close in the first quarter of fiscal 2020.

This is in line with Infosys' strategy to strengthen its mortgage servicing capabilities in Continental Europe, the software services company said in a statement.

ABN AMRO will continue to hold the remaining 25 per cent stake in Stater, which operates in the Netherlands, Belgium and Germany.

Infosys had gained 1.6 per cent by 12:58 pm, while the broader Mumbai market was up 0.58 per cent.

"
"
Lyft raises IPO price target as investor fret over missing out - Times of India

","
NEW DELHI: Lyft Inc on Wednesday raised the price range for its initial public offering, as investors looked past the ride-hailing startup's mounting losses to the company's growing market share against larger rival Uber Technologies Inc.


Lyft raised its IPO price range to between $70 and $72 per share, meaning the ride-hailing company is now targeting a valuation of up to $24.3 billion. The increased range, from $62-$68 previously, is the result of investors worrying about missing out on the biggest U.S. IPO since Snap Inc in 2017.

Lyft's IPO was oversubscribed just two days into its investor roadshow, Reuters reported last week.

At the upper end of the new range, Lyft would have a market capitalization of $20.45 billion, a little larger than Snap Inc when it went public in 2017. At this size, it would be the biggest US IPO since Chinese e-commerce Alibaba Group Holding Ltd in 2014.

Counting for things like restricted stock options, Lyft's valuation would be as high as $24.3 billion. Lyft was valued at $15 billion in final private fundraising round in 2018.

At the mid-point of its new target range, $71 per share, Lyft would raise roughly $2.1 billion.

The increased price range signals a healthy appetite for new stocks after jeans maker Levi Strauss & Co last week priced its targeted range and popped on its market debut.

It also indicates many investors are willing to overlook uncertainty over Lyft's path to profitability and its strategy for autonomous driving, for fear of missing out on such a high-profile technology IPO.

The IPO market had a slow start in 2019 due to volatile markets at the end of last year and the government shutdown in January blocking U.S. regulators from processing new IPO applicants.

This all bodes well for the likes of Uber Technologies and Pinterest Inc, which are also planning to go public in 2019 but like Lyft have yet to turn a profit.

With start-ups like Lyft staying private for longer, there is a backlog of demand to allocate more money to stocks which are considered high-growth in order to diversify away from Wall Street's FAANG trade which is made up of Facebook Inc, Amazon.com Inc, Apple Inc, Netflix Inc and Google parent Alphabet Inc.

Nevertheless, Lyft's strategy and ability to make money has not been without skeptics.

Union pension fund adviser CtW Investment Group has argued Lyft ""faces an all-but-insurmountable barrier"" to profitability due to issues with the ride-hailing company's pricing strategy and new regulations driving costs higher.

Lyft's revenue was $2.16 billion for 2018, double the previous year's and far higher than $343 million in 2016. It posted a loss of $911 million in 2018 versus $688 million in 2017.

Lyft's IPO is set to price on Thursday with shares scheduled to begin trading on the Nasdaq on Friday.

"
"
‘A golden visa can save you from going to jail at home’ - Times of India

","
NEW DELHI: On Friday, diamantaire Nirav Modi will appear in a London court for his second plea for bail. Modi has been held in a UK prison since his first court appearance on March 20, when he was denied bail.


Nirav Modi had entered the UK on a ‘golden visa’, issued by the British government on his Indian passport, which was revoked in February this year. The golden visa, issued to investors outside the EU on a commitment to invest £2 million (Rs 18 crore) in UK government bonds or in active and trading UK companies, was apparently issued to Nirav Modi a few years ago. Revocation of passport does not affect the validity of the visa.

In court last week, the defence lawyer said he arrived in the UK in January 2018 and that is a key plank of their defence.

Reforms in rules for UK’s golden visas will also be implemented from March 29. Golden visas aim to encourage rich non-EU citizens to make substantial investments in the UK economy, by offering them the right to live, work, study and settle in Britain. But, the scheme has faced criticism, with some questioning the legitimacy of funds used to make investments.

UK government bonds, which were also a qualifying investment (or option for investment), will be excluded from March 29. UK banks will need to carry out all due diligence checks on an applicant, and applicants will now need to have held the £2 million they will invest for at least two years before making their application, or provide evidence of the source of funds. Earlier it was 90 days. Due diligence checks are done to protect from possibility of money laundering, organised crime and funding of terrorism.

This visa route was introduced in 2008 and brings 498 million euros (Rs 3,897 crore) into the UK every year. By 2018, 10,445 such visas had been granted, of which 82 were given to Indians, according to a 2018 report ‘European Getaway: Inside the Murky World of Golden Visas” by Transparency International and Global Witness.

But the report said that between 2008 and 2015 the UK Tier 1 (investor) scheme had “undertaken minimal checks on applicants’ wealth.” “Applicants were given visas before they opened a UK bank account. A number of banks interpreted the fact that individuals had been given a visa as verification from the UK Home Office that an applicant’s wealth was legitimate. Realising their mistake, the Home Office reformed the programme in April 2015. Now, applicants have to open a bank account before applying for the visa,” the report said.

But during this period, 3,000 high net-worth individuals entered the UK “with at least £3.15 billion of questionable legitimacy,” the report said, describing golden visa schemes “are highly desirable for those associated with corruption”.

“In the event that circumstances back home become unfavourable, a golden visa can effectively serve as a get out-of-jail-free card,” the report stated.

The Home Office announced on December 6, 2018, that this visa route was to be temporarily suspended, amid fears it was being used for money laundering. But after lobbying by firms that sell the visas, it was not suspended. On December 11, the Home Office said, “The Tier 1 (Investor) visa is not currently suspended, however, we remain committed to reforming the route.”

Luke Hexter, managing director of Knightsbridge Capital Partners in London, who sells such schemes, said, “The Home Office initially said it would suspend the route, as part of its ongoing efforts to tackle serious organised crime and money laundering. But it seems to have been rebutted by higher level government. We believe the reforms brought forward by the UK government will be effective, thus ensuring only reputable and trustworthy applicants will continue to be accepted into the UK tier 1 investor programme.”

On March 7, 2019, the Home Office issued a statement saying it was “bringing forward reforms to the route.” “The reformed route will better protect the UK from illegally obtained funds, while ensuring that genuine investors have access to a viable visa route,” it read.


Steps to a golden visa

1) You needed to invest at least £2m (Rs 18 crore) in active and trading UK registered companies or UK govt bonds

2) Prove you have held the £2m for at least 90 days, amount must stay invested for visa to remain valid

3) Account with a UK regulated bank for investing £2m

4) A UK address to open a bank account

5) Investors do not need to speak English to get a Tier 1 (investor visa) because, while you are allowed to work if you wish to, you do not have to

6) Investors can apply from overseas and remain overseas. Visa can be used to travel in and out of UK, or keep it in your passport as an option

7) Applicants must provide an overseas criminal record certificate for any country they’ve been present in continuously or cumulatively for 12 months or more, in the 10 years prior to their application

8) Need to have fingerprints and photograph taken at a visa centre to get a biometric residence permit


After March 29 reforms

1) Investments in UK govt bonds will no longer qualify as permitted UK investments

2) Applicants will have to prove they have had control of the £2 million they will invest for at least two years before applying, or provide evidence of the source of funds

3) UK banks will need to carry out “Know Your Client” checks and provide a statement confirming this has been done in the bank letter required for the application

4) Stronger evidence will be required that a company has a substantial presence in the UK, including registration with the Companies House and HMRC for corporation tax and payas-you-earn purposes. The company must have at least two UK-based employees, who are not its directors

"
"
Jet Airways News: Planes grounded, Jet Airways sends expat pilots on leave without pay 

","
NEW DELHI: 

  Jet Airways
 + has started sending its pilots - most likely only the expats - on furloughs, or leaves without pay. Expat pilots cost nearly twice as much as their Indian counterparts as they have to be given accommodation and flight tickets to their home country every few weeks. Since Jet is now operating 35 of its once-upon-a-time fleet of 124 planes, the lender-led management has begun cutting this extra cost. The airline is trying to take this number to 75 by April 26, still leaving it pilot surplus.


Sources say only expat pilots are being sent on furlough. Despite repeated attempts, Jet did not comment on how many expats it has and if the offer is being made to them only. 



With just one-fourth of operational fleet, Jet suspends services to 13 international routes till end-AprilJet Airways has suspended operations on 13 more international routes till end-April and grounded seven more planes due to non-payment of rentals, taking the number of such aircraft to 54. The airline has also reduced frequencies on seven other overseas routes, mostly from Delhi and Mumbai. From 600 daily flights operations reduced to one-fourth.


""Due to the reduced network and fleet plan, the company's pilot requirements on your fleet have reduced and your services will not be required… as an interim arrangement, we are offering furlough to pilots. Accordingly, we hereby offer you furlough of your employment with effect from April 01, 2019 till further notice,"" a letter issued to an expat pilot of Boeing 737 on Thursday said.

""Please consider this letter as notice to furlough your employment with us. We will periodically assess pilot requirements and advise you accordingly,"" it adds. During the furlough, pilots will not not receive salary, any other monetary benefit, accommodation and medical insurance. 

""However, you will continue to be eligible for free passages as per the prevailing staff travel policy of the company. You shall maintain recency / validity of your licenses / medical during the period of furlough. In case your employment contract ceases during the term of this furlough arrangement, the furlough arrangement contemplated herein shall automatically come to an end on the date of cessation of the employment contract,"" the letter says.

In the last two months, Jet has seen several of its pilots leave. They along with aircraft engineers and senior management are awaiting payment of last three to four months' salaries. 

Expat pilots have always been a touchy issue in almost all Indian carriers. Last August when Jet had proposed 15 per cent pay cut for pilots, the airline had even then issued ad to hire expats. When Indian pilots questioned the move of cutting their salaries yet continuing to hire expats, the then management had said salary of expat pilots would also be deducted. The salary deduction move did not happen and the airline later was not in a position to pay salaries to the level of employees with big pay packages.


            In Video:
            Jet Airways sending expensive expat pilots on furloughs or leaves without pay"
"
Asian central banks look to cut rates after Fed pause - Times of India

","
SEOUL/HONG KONG: A slowing global economy and abrupt end to Federal Reserve policy tightening have shifted rate cut expectations in Asia to probable from possible, with the market betting on moves by a growing list of central banks.


New Zealand sent the clearest signal on Wednesday when its central bank kept interest rates at a record low of 1.75%, but said a weak external environment meant its next move was more likely to be a cut. Money markets are pricing in a strong chance of a cut in Australia this year. The Philippines, India and Indonesia also have room to reverse some of last year’s multiple interest rate hikes aimed at protecting the peso, rupee and rupiah from emerging market turmoil, economists say.

In Malaysia, rate cut calls are growing louder as inflation has turned negative, while policy makers in Japan debated further stimulus amid concerns over waning global demand, according to minutes from the Bank of Japan’s March meeting.

A new and unexpected member of the club of potential rate cutters is South Korea, where the government bond yield curve has flattened rapidly, signaling economic weakness that economists believe the Bank of Korea may address.

In China, although reductions in bank reserve requirements are seen as Beijing’s main monetary policy easing tool, some analysts also expect cuts in benchmark rates.

“This shifting growth-inflation mix combined with a concluded Fed tightening cycle calls for a significant change in the course of monetary policy across Asian economies,” ANZ economists said in a quarterly note on Wednesday. “We now expect all central banks in the region to either hold interest rates or move into accommodation mode,” they said.

This is a remarkable turnaround. Only last year, the debate in trade-deficit countries was about how high rates could go, and Japan’s central bank was contemplating exiting stimulus policies.

"
"
Heineken buys 74L shares of UBHL from ED - Times of India

","
BENGALURU: Dutch beer maker Heineken has emerged as the buyer of the 74 lakh shares of United Breweries Holding (UBHL) from the ED which fetched the government agency Rs 1,008 crore earlier this week, sources said.

The shares, which are equivalent to 2.8% stake in United Breweries once helmed by Vijay Mallya, will help push up Heineken’s hold over India’s largest beer maker to about 46%. 

Heineken has been trying for years to get a majority stake in UB—51%—but have been futile since Mallya’s entire holding has been attached. UB and Heineken could not be reached immediately for comment. The shares were pledged by Mallya to Yes Bank as security against loans taken by Kingfisher Airlines. The money amassed will help the consortium of lenders, led by SBI, to recover loans turned non performing assets (NPA) worth Rs 9,000 crore. The ED has already identified properties worth Rs 12,500 crore including Rs 9,000 crore already attached under the Prevention of Money Laundering Act.

In 2016, Heineken had bought similar pledged shares from banks and other lenders. Mallya and his holding companies still hold 13.8% of United Breweries, as per the latest shareholding pattern in December 2018, but with the current share sale, it will come down to about 11%

"
"
Tata Group: Tatas, GIC & SSG to buy stake in GMR Airports by investing Rs 8,000 crore 

","
NEW DELHI: After airlines, the Tata Group has now made its foray into the airport sector. Tatas, GIC and SSG Capital Management will invest Rs 8,000 crore in infra major GMR’s airport arm, valuing GMR Airports at almost Rs 22,500 crore. The investment will help GMR Group reduce its debt burden as it is currently engaged in developing and expanding airports with in India and abroad.


“GMR Infrastructure Limited (GIL) Wednesday announced a proposed investment by Tata Group, Singapore’s sovereign wealth fund GIC and SSG Capital Management in its airports business. GIL has signed a binding term sheet with the Investors pursuant to which the Investors have agreed to invest Rs 8,000 crore in GMR Airports Limited (GAL),” GMR said in a statement Wednesday.

“The investment amount of Rs 8,000 crore will consist of Rs 1,000 crore equity infusion in GAL and Rs 7,000 crore towards purchase of GAL’s equity shares from GIL and its subsidiaries. The proposed investment is subject to definitive documentation, customary regulatory approvals, lender consents and other approvals,” it added.

Following the investment, GIL proposes to demerge its energy, highways, urban infrastructure and transportation businesses, leading to separation of its airport business. “This is a significant development for GIL with multiple strategic benefits (like) significant deleveraging at GIL; investment by marquee investors for creating a world class portfolio of airport assets and paves the way for restructuring of the business by way of demerger. As part of the terms of the proposed investment, GIL will retain management control over the airports business with the investors having customary rights and board representation at GAL and its key subsidiaries,” the statement said.

“The investors have pegged 100% equity valuation for GAL at… Rs 18,000 crore plus earn-outs of up to Rs 4,475 crore linked to achievement of certain agreed milestones and performance metrics over next 5 years. Thereby, total valuation assuming all earn-outs are successfully consummated, will be Rs 22,475 Crores on Post Money Basis,” it added.

As part of this transaction, GIL plans provide exit to existing private equity investors who hold 5.8% equity stake in GAL. At closing, GIL and its subsidiaries will hold 54% stake in GAL, Tata 20%, GIC 15%, SSG 10% and Employee Welfare Trust 2%.

GIL MD and CEO Grandhi Kiran Kumar said: “We are very pleased to welcome Tata, GIC and SSG as long-term investors in GAL. The proposed investment endorses the strength of the unparalleled airport platform created by GMR Group and will reduce our debt substantially, strengthening our balance sheet. This proposed investment by marquee investors like Tata, GIC and SSG reaffirms the significant and long-term investment opportunity in the fast growing airport infrastructure space with a large pool of capital that can be tapped to grow GMR Airport infrastructure business.”

GMR Group’s Airport portfolio has around 16 crore passenger capacity in operation and under development, comprising of India’s busiest IGIA in Delhi, Hyderabad’s RGIA, Mactan Cebu International Airport in partnership with Megawide in Philippines. Greenfield projects under development includes Airport at Mopa in Goa and Airport at Heraklion, Crete, Greece in partnership with GEK Terna. The GMR-Megawide consortium has won the Clark International Airport’s EPC project, the second project in Philippines. The Group recently received Letter of Intent for development and operations of Nagpur Airport on PPP basis and development and operation of greenfield airport at Bhogapuram in Andhra Pradesh.

"
"
Uber Careem Merger: Uber to buy Mideast rival Careem for $3.1 billion - Times of India

","
DUBAI: Global ride-hailing service Uber will acquire its Middle East rival Careem for $3.1 billion, the two companies announced on Tuesday.


""Careem and Uber are joining forces. We have reached an agreement in which Uber will acquire Careem for $3.1 billion,"" a joint statement said.

Under the deal, Careem will become a wholly owned subsidiary of Uber but will continue operating independently. Careem will retain its branding, services and separate app.

Uber will pay $1.4 billion in cash and the remaining $1.7 billion in convertible notes, the statement said.

""Uber will acquire all of Careem's mobility, delivery, and payments businesses across the greater Middle East region, ranging from Morocco to Pakistan, with major markets including Egypt, Jordan, Pakistan, Saudi Arabia, and the United Arab Emirates,"" the statement said.

""This is an important moment for Uber as we continue to expand the strength of our platform around the world,"" Uber chief executive Dara Khosrowshahi said.

Careem chief executive and co-founder Mudassir Sheikha welcomed the acquisition, saying it will be good for customers.

""Joining forces with Uber will help us accelerate Careem's purpose of simplifying and improving the lives of people, and building an awesome organisation that inspires,"" Sheikha said.

The acquisition is subject to regulatory approvals and the transaction is expected to close in the first quarter of 2020.

"
"
Talegaon - The Green Heaven for your Dream Home - Times of India

","
Upgraded with marvellous natural beauty, Talegaon, Pune has undergone enormous progress in the last decade. It has emerged as one of the most preferable options for inexpensive housing, located in the outskirts of Pune; with a lot of developers investing to yield heavy returns and residents relocating to avoid the city's hustle-bustle.  Experience the lavishness of Talegaon which is located bang in the middle of Mumbai-Pune-Nashik triangle. It is just a two-hour drive from Mumbai - The Financial Capital of India and a 45 minute drive from Pune. It is also in vicinity to Mumbai Pune Highway.    Standing tall amidst the other suburbs in Pune, Talegaon offers world-class homes with a variety of modern amenities, pollution-free living and growing employment opportunities. Below are elaborative reasons of why investing in Talegaon, Pune is a smart move in 2019.   Pollution-free living: Who wouldn't like a chance to live close to the nature, away from city's pollution and noise? Gift yourself a lavish living in a serene heaven - Talegaon, in the middle of a green environment and stunning views, located at a higher altitude than the well known - Lonavala. You can balance your personal and work life while you stay at this pollution-free space with natural surroundings. It is one of the biggest and most beautiful attractions, especially for people searching for the most-desirable weekend or second homes. Come, live in harmony to Talegaon which is also popular for its weather.    Nature meets life: Unless you are willing to let go technology and move to small villages, access to nature is a rarity. But in case of Talegaon, natural beauty and urban growth co-exist together, with luxury designed for indulgences. Along lavish homes, there are amazing sightseeing spots including Induri Fort, Naska Talao, Khanderao Samadhi, Pandav Temple and many more. Excellent connectivity, good infrastructure, transport facilities, educational and entertainment avenues are some of the other highlights of this area.     The Growth of Talegaon: Offering homes, that will win your heart over, Talegaon awaits your presence in its strategically planned homes. Also, the added benefit is its proximity to the industrial belt of PCMC, Maval, Chakan and IT/BT park of Hinjawadi. Companies from different sectors including Automobile, IT, Engineering, Pharmaceutical and Floriculture have a big market to bank on for Talegaon. Some of the popular names include: Volkswagen, JCB, General Motors, Siemens, Finolex Cables, Land Rover, Bajaj and more. Talegaon is not limited to this - from schools to colleges, cafes to restaurants, offices to hospitals, it has it all.     (Image Source- General Motors Website)   Imagine how beneficial can it turn out to be if you buy your own property here and convert it into a well designed and smartly constructed dream home! If it's adding so much value to your lifestyle, it will definitely add on value to the hard-earned money you invest in it.  Head over to some remarkable projects like Aikonic, Eco City 2.0, and HappyCity to invest now and book a piece of this green heaven for yourself and your family.      This is a sponsored brand story by Namrata Group and the liability for the same solely rests with them. The content has not been created, verified or edited by Times Internet Limited or Times Group.TO PUBLISH YOUR BRAND STORY OR TO FOLLOW BRANDS, VISIT 
                      BRANDWIRE.IN
                
                    .brandwire_txt{color: #000; font-size: 14px; margin: 0 0 12px 0;}
                    .brandwire_txt a{color: #0372c3;}
                    .brandwire_disclaimer{background: #f7f7f7; border: 1px solid #ddd; padding: 15px; font-size: 14px; color: #555; line-height: 18px; margin: 10px 0 0 0; clear: both}
                    .brandwire_disclaimer a{color: #555;}
                    .brandwire_disclaimer p{font-family: proxima-semibold; margin: 10px 0 0; color: #000; font-size: 14px; }
                    .brandwire_disclaimer p a{color: #0372c3; display: inline; font-size: 14px;}
                "
